GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000006377.11,DLX6,195,STRING
ENSG00000129152.4,MYOD1,ENSG00000105880.7,DLX5,287,STRING
ENSG00000129152.4,MYOD1,ENSG00000077080.10,ACTL6B,221,STRING
ENSG00000129152.4,MYOD1,ENSG00000130427.3,EPO,178,STRING
ENSG00000129152.4,MYOD1,ENSG00000087085.16,ACHE,202,STRING
ENSG00000129152.4,MYOD1,ENSG00000006652.15,IFRD1,605,STRING
ENSG00000129152.4,MYOD1,ENSG00000154415.8,PPP1R3A,220,STRING
ENSG00000129152.4,MYOD1,ENSG00000105974.13,CAV1,330,STRING
ENSG00000129152.4,MYOD1,ENSG00000105976.16,MET,491,STRING
ENSG00000129152.4,MYOD1,ENSG00000105989.10,WNT2,278,STRING
ENSG00000129152.4,MYOD1,ENSG00000002745.13,WNT16,154,STRING
ENSG00000129152.4,MYOD1,ENSG00000170807.12,LMOD2,350,STRING
ENSG00000129152.4,MYOD1,ENSG00000128591.17,FLNC,206,STRING
ENSG00000129152.4,MYOD1,ENSG00000128602.11,SMO,239,STRING
ENSG00000129152.4,MYOD1,ENSG00000266265.4,KLF14,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000122786.20,CALD1,505,STRING
ENSG00000129152.4,MYOD1,ENSG00000157764.14,BRAF,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000055130.18,CUL1,193,STRING
ENSG00000129152.4,MYOD1,ENSG00000164900.5,GBX1,169,STRING
ENSG00000129152.4,MYOD1,ENSG00000082014.17,SMARCD3,990,STRING
ENSG00000129152.4,MYOD1,ENSG00000055609.21,KMT2C,167,STRING
ENSG00000129152.4,MYOD1,ENSG00000164778.4,EN2,229,STRING
ENSG00000129152.4,MYOD1,ENSG00000164690.8,SHH,492,STRING
ENSG00000129152.4,MYOD1,ENSG00000130675.15,MNX1,172,STRING
ENSG00000129152.4,MYOD1,ENSG00000036448.10,MYOM2,244,STRING
ENSG00000129152.4,MYOD1,ENSG00000136574.19,GATA4,582,STRING
ENSG00000129152.4,MYOD1,ENSG00000164733.23,CTSB,182,STRING
ENSG00000129152.4,MYOD1,ENSG00000078579.9,FGF20,442,STRING
ENSG00000129152.4,MYOD1,ENSG00000175445.17,LPL,271,STRING
ENSG00000129152.4,MYOD1,ENSG00000158815.11,FGF17,411,STRING
ENSG00000129152.4,MYOD1,ENSG00000168487.20,BMP1,205,STRING
